State,Cancer Type,Mortality Rate
Rhode Island,Lung and bronchus / Female,41.8
Rhode Island,Lung and bronchus / Male,59.1
South Carolina,Lung and bronchus / Both sexes combined,50.3
South Carolina,Lung and bronchus / Female,37.8
South Carolina,Lung and bronchus / Male,67
South Dakota,Lung and bronchus / Both sexes combined,43.8
South Dakota,Lung and bronchus / Female,35.2
South Dakota,Lung and bronchus / Male,55.5
Tennessee,Lung and bronchus / Both sexes combined,58.6
Tennessee,Lung and bronchus / Female,43.7
Tennessee,Lung and bronchus / Male,78.4
Texas,Lung and bronchus / Both sexes combined,40.6
Texas,Lung and bronchus / Female,31.7
Texas,Lung and bronchus / Male,52.2
Utah,Lung and bronchus / Both sexes combined,20
Utah,Lung and bronchus / Female,16.2
Utah,Lung and bronchus / Male,24.6
Vermont,Lung and bronchus / Both sexes combined,47.1
Vermont,Lung and bronchus / Female,41.5
Vermont,Lung and bronchus / Male,54.3
Virginia,Lung and bronchus / Both sexes combined,45.5
Virginia,Lung and bronchus / Female,36.5
Virginia,Lung and bronchus / Male,57.4
Washington,Lung and bronchus / Both sexes combined,42.2
Washington,Lung and bronchus / Female,36.3
Washington,Lung and bronchus / Male,49.9
West Virginia,Lung and bronchus / Both sexes combined,60.2
West Virginia,Lung and bronchus / Female,47.2
West Virginia,Lung and bronchus / Male,77.2
Wisconsin,Lung and bronchus / Both sexes combined,44.2
Wisconsin,Lung and bronchus / Female,37.5
Wisconsin,Lung and bronchus / Male,53.4
Wyoming,Lung and bronchus / Both sexes combined,36.7
Wyoming,Lung and bronchus / Female,32.5
Wyoming,Lung and bronchus / Male,41.9
